Product,Sales,Region,Profit
Mouse,82040,South,17061
Monitor,52670,South,13639
Phone,92818,North,13018
Laptop,8412,South,9396
Keyboard,26534,North,17027
Mouse,73432,West,7896
Laptop,78727,North,5116
Phone,82189,North,16942
Monitor,6022,East,3569
Mouse,29184,West,17219
Keyboard,37769,North,14140
Tablet,2624,West,18363
Monitor,91524,East,16770
Tablet,39021,East,5538
Tablet,4579,West,17727
Phone,66725,East,9305
Keyboard,77667,East,15735
Tablet,74516,West,11482
Phone,5810,East,2208
Laptop,35436,West,1256
Mouse,26468,North,19634
Monitor,67482,South,3118
Phone,71610,East,9407
Mouse,45963,East,17287
Laptop,89353,West,12587
Keyboard,86399,West,2224
Phone,69452,West,15307
Keyboard,63396,South,4342
Mouse,62146,East,1155
Tablet,13743,West,9288
Monitor,37160,South,17848
Keyboard,66582,South,8446
Monitor,81113,North,17081
Keyboard,19442,East,7287
Phone,87542,West,6001
Laptop,49047,North,3815
Phone,72696,North,12659
Laptop,69499,South,10258
Phone,37166,West,2773
Laptop,20385,North,2890
Mouse,26895,East,15878
Monitor,78320,West,4489
Tablet,39100,South,5968
Phone,17873,East,2616
Monitor,20206,West,2310
Keyboard,54671,North,5839
Mouse,15897,North,11517
Tablet,73928,East,4590
Mouse,58667,South,14975
Tablet,87678,West,14897
Mouse,38467,North,16470
Mouse,90333,East,9094
Monitor,42275,East,12690
Keyboard,64440,North,17706
Mouse,88944,South,9077
Laptop,48048,East,7901
Keyboard,54266,South,11090
Keyboard,38450,East,5981
Monitor,73808,East,9188
Tablet,66175,North,11437
Monitor,70644,South,2118
Laptop,88506,North,10642
Phone,36012,West,16775
Mouse,41779,East,9995
Mouse,21869,West,17775
Mouse,52086,East,11779
Monitor,7920,East,13712
Monitor,34631,North,748
Tablet,32976,East,17778
Phone,56519,North,19924
Laptop,28515,West,10317
Tablet,21566,North,3179
Laptop,47876,North,11198
Tablet,95325,West,741
Laptop,70974,East,3694
Monitor,87219,North,1919
Keyboard,12064,North,15021
Laptop,11703,South,19239
Mouse,47084,East,10736
Monitor,57056,South,3594
Laptop,71056,East,16373
Keyboard,58840,East,6842
Laptop,44091,West,7961
Laptop,24364,East,9415
Tablet,92911,East,1961
Laptop,42382,South,441
Laptop,49668,East,12634
Keyboard,58311,South,16121
Laptop,17306,North,6265
Monitor,40638,West,3343
Monitor,90997,South,17058
Phone,28954,West,7884
Keyboard,92208,North,10342
Laptop,7201,East,10882
Tablet,60107,West,4939
Mouse,88311,South,923
Tablet,46234,West,18399
Tablet,25954,South,3703
Keyboard,49501,South,12059
Tablet,25701,North,18387
Keyboard,91861,East,15149
Phone,24970,North,13902
Tablet,86645,South,12656
Laptop,57788,East,5022
Keyboard,98863,West,12099
Keyboard,66039,South,9692
Tablet,16534,North,19570
Monitor,36348,East,13496
Laptop,15169,North,2474
Phone,58067,West,7597
Monitor,12831,South,9626
Mouse,83440,North,4135
Mouse,61883,East,12114
Keyboard,8640,North,17093
Monitor,36892,South,1208
Phone,65567,South,9111
Phone,94949,North,17271
Laptop,71145,North,2417
Monitor,34131,South,17577
Phone,78987,North,14336
Keyboard,76735,West,13553
Mouse,1719,West,19297
Monitor,15418,North,7416
Mouse,9620,West,2934
Phone,1151,South,17069
Mouse,77990,North,2671
Mouse,19683,South,17788
Tablet,29371,East,7604
Tablet,92402,East,13011
Keyboard,89354,North,8383
Laptop,76399,South,9881
Tablet,44819,North,16850
Monitor,6188,North,19859
Phone,75366,North,3997
Laptop,12412,East,19053
Monitor,60915,North,2108
Tablet,44303,West,4430
Laptop,8461,South,4939
Keyboard,3880,South,4852
Laptop,18310,North,1699
Tablet,13300,East,18165
Tablet,23454,West,12660
Tablet,62407,East,17206
Mouse,37590,East,12588
Tablet,34613,West,1842
Mouse,91726,West,13479
Mouse,89001,South,10795
Laptop,34262,North,11645
Tablet,76260,West,10041
Keyboard,45414,South,12027
Mouse,71230,East,12556
Keyboard,80342,West,8635
Monitor,46847,East,8527
Mouse,10715,North,13091
Mouse,89099,West,7285
Tablet,6831,East,6960
Laptop,55516,East,18789
Monitor,31840,South,3679
Phone,9779,South,18603
Mouse,88993,South,5942
Monitor,55547,North,8293
Phone,19331,East,19225
Laptop,65943,North,11619
Monitor,91960,East,6515
Mouse,19344,West,8761
Keyboard,10404,North,15508
Keyboard,27849,South,5307
Keyboard,3296,East,7424
Phone,31004,North,2091
Keyboard,59045,North,12552
Tablet,36505,East,7356
Mouse,98538,North,9961
Mouse,1987,North,186
Mouse,4416,North,19684
Phone,92086,South,9657
Mouse,8501,East,3720
Monitor,70063,East,280
Laptop,44324,South,15452
Tablet,11573,East,6620
Tablet,22124,West,12076
Monitor,80304,North,7370
Phone,18005,South,1492
Phone,12760,East,9074
Mouse,94655,West,8716
Keyboard,92574,South,18025
Mouse,66383,West,16004
Phone,70000,West,9975
Laptop,41127,East,19896
Laptop,21279,South,16051
Laptop,7920,North,3179
Tablet,12448,East,10367
Tablet,89718,East,16911
Monitor,47430,South,6577
Tablet,46436,East,17362
Laptop,56990,South,14159
Keyboard,30872,East,6470
Monitor,13199,East,2369
Keyboard,18251,West,10746
Laptop,35322,North,2791
Laptop,13878,North,1893
Mouse,72512,North,427
Laptop,60210,South,12904
Laptop,42614,West,13115
Keyboard,60882,East,9279
Laptop,23175,South,9194
Mouse,32005,North,17829
Laptop,27702,South,19251
Phone,27402,West,1256
Keyboard,99477,South,11217
Mouse,82281,South,6354
Laptop,63120,North,12244
Monitor,76781,West,4582
Laptop,57501,West,19447
Mouse,77926,South,1285
Keyboard,58290,North,16309
Phone,92230,South,18711
Tablet,1816,South,2288
Keyboard,63727,North,14193
Phone,98251,West,3264
Tablet,7397,South,3969
Keyboard,29463,South,10186
Keyboard,65871,North,7530
Mouse,51624,South,14267
Monitor,66529,East,2925
Keyboard,11816,North,8052
Mouse,95009,East,19928
Monitor,21554,West,13320
Phone,24281,North,17794
Keyboard,2236,North,3131
Mouse,65416,West,13541
Monitor,71774,East,18013
Keyboard,76921,West,2747
Laptop,71399,West,19958
Keyboard,26393,North,8518
Laptop,72185,West,14469
Tablet,9412,North,19502
Tablet,9457,North,14716
Phone,62157,South,9391
Monitor,65590,South,15541
Phone,17798,West,18934
Monitor,31406,South,7356
Keyboard,22268,North,9815
Keyboard,12924,South,6090
Mouse,64896,South,8283
Keyboard,40564,North,12687
Tablet,39470,West,9381
Monitor,77378,South,7827
Phone,34324,North,19822
Mouse,14351,West,2665
Mouse,54998,North,16974
Phone,89544,East,18914
Keyboard,9198,East,17545
Tablet,95016,West,8130
Mouse,97409,North,916
Mouse,37549,East,8230
Laptop,17869,South,1773
Monitor,29548,South,12029
Phone,80289,North,17483
Phone,50317,West,18541
Monitor,99873,West,7104
Keyboard,17390,South,5499
Tablet,56534,East,1087
Monitor,67875,East,8448
Tablet,8454,North,17894
Mouse,52948,East,16391
Mouse,99118,North,9256
Phone,4186,West,11439
Mouse,14688,South,16882
Laptop,6269,West,829
Monitor,85255,North,13365
Laptop,46682,West,16973
Monitor,37875,North,4462
Keyboard,35177,East,5944
Laptop,69907,South,2987
Mouse,30142,North,12525
Mouse,50688,South,19266
Phone,93997,West,18343
Monitor,93188,South,5313
Laptop,44418,South,6706
Tablet,43834,South,10291
Monitor,95481,East,9535
Monitor,47593,North,17588
Mouse,55481,North,12023
Laptop,50193,West,782
Keyboard,39919,West,2358
Tablet,42703,East,4892
Mouse,78762,East,969
Keyboard,60007,East,3094
Mouse,13837,South,11608
Laptop,70613,South,1041
Phone,80606,North,17320
Keyboard,55967,North,17481
Phone,64360,North,12807
Keyboard,39316,South,17145
Tablet,40787,West,16426
Laptop,48480,North,5232
Tablet,21297,East,3626
Tablet,96055,North,15711
Monitor,5131,South,14093
Phone,27514,East,5561
Keyboard,76916,South,11116
Phone,8853,South,191
Phone,63602,East,1890
Tablet,41440,West,6936
Phone,82840,West,2398
Phone,52292,North,18287
Tablet,37352,South,1005
Phone,22492,West,2016
Mouse,18986,West,15573
Monitor,15758,West,18302
Phone,14068,West,12127
Monitor,13546,East,1965
Tablet,93738,East,4197
Phone,41467,North,15622
Laptop,80886,West,4646
Phone,30007,West,19771
Tablet,47309,West,10222
Monitor,50703,East,4541
Keyboard,54974,South,13219
Mouse,3190,East,7652
Keyboard,18417,North,12580
Phone,37554,East,7065
Keyboard,62874,North,19527
Keyboard,81453,East,1106
Phone,1428,South,14568
Mouse,35463,North,3286
Monitor,78179,North,18348
Keyboard,20047,West,10337
Mouse,67362,South,9562
Mouse,93652,South,5121
Keyboard,69394,West,5139
Tablet,3189,West,17324
Laptop,65742,South,9152
Keyboard,90147,East,12562
Tablet,41771,East,5968
Mouse,79886,North,7576
Laptop,21786,East,10362
Tablet,28166,South,12670
Phone,13694,West,4389
Phone,61587,South,1381
Tablet,5560,East,14931
Monitor,34280,South,13418
Laptop,33072,West,9858
Mouse,92533,South,2724
Monitor,8948,North,14588
Phone,97439,West,19340
Phone,71224,North,13955
Monitor,13350,South,5696
Monitor,49347,West,13075
Tablet,97263,South,9926
Laptop,46892,North,12523
Tablet,64341,North,6854
Monitor,98899,West,7884
Tablet,53160,South,960
Mouse,56214,West,5829
Monitor,88119,West,13331
Laptop,82956,East,14757
Tablet,90747,South,926
Monitor,66629,North,1307
Monitor,4585,East,6055
Keyboard,50230,East,15256
Monitor,24296,West,11939
Laptop,59047,West,16811
Mouse,11675,East,10592
Keyboard,60498,West,19184
Laptop,26029,West,3903
Phone,49216,North,8286
Tablet,89569,West,7200
Phone,15023,West,734
Tablet,4560,West,7735
Monitor,9012,West,10813
Mouse,74251,West,4871
Phone,60366,East,15357
Keyboard,82049,West,14614
Phone,17559,West,3641
Keyboard,96207,North,17994
Laptop,67633,South,9019
Laptop,98063,North,15693
Mouse,5382,South,19683
Monitor,56622,West,19705
Monitor,19567,South,18524
Mouse,63446,East,8064
Laptop,30608,West,4839
Monitor,24154,South,12872
Monitor,59286,East,8198
Laptop,29934,South,2304
Tablet,48815,West,16899
Phone,43954,East,3666
Mouse,39230,South,3990
Keyboard,26713,North,3878
Laptop,46191,North,18006
Phone,87821,South,6102
Monitor,85311,South,8546
Phone,10623,East,6624
Laptop,90335,South,12741
Laptop,41835,South,17483
Laptop,70031,South,11244
Phone,28599,East,10242
Keyboard,95937,North,9164
Laptop,53785,West,1725
Phone,81976,West,10510
Mouse,36019,East,19483
Monitor,72903,East,18825
Laptop,70042,South,19622
Tablet,22785,West,11499
Phone,82627,West,2487
Mouse,9423,South,5786
Laptop,88406,West,3020
Monitor,79362,South,10851
Laptop,66358,North,12204
Mouse,39766,West,17728
Laptop,50218,North,11829
Laptop,35341,South,16219
Tablet,43023,West,19948
Tablet,8601,East,15842
Tablet,35721,East,10197
Keyboard,50096,North,5331
Monitor,9384,North,10872
Monitor,54695,North,7636
Laptop,80104,North,671
Laptop,88700,East,10667
Keyboard,94790,North,9684
Monitor,65251,South,17753
Phone,54529,East,7078
Keyboard,27591,West,16809
Keyboard,54129,South,5541
Phone,62107,North,13477
Phone,64472,South,1102
Keyboard,49539,North,2422
Monitor,53820,North,1519
Keyboard,28427,North,19188
Keyboard,32071,West,16865
Keyboard,11868,East,16038
Laptop,22471,South,19316
Tablet,8633,East,7102
Keyboard,70276,East,1337
Mouse,18407,West,16664
Monitor,70896,East,1196
Mouse,71122,East,15818
Phone,33303,West,14650
Keyboard,51899,North,6176
Monitor,64047,West,5932
Mouse,73070,South,1774
Keyboard,25300,South,18167
Laptop,26023,West,1104
Mouse,9086,East,6375
Mouse,87820,South,4111
Tablet,71420,East,8635
Tablet,84856,North,16673
Tablet,3983,West,8343
Tablet,36357,North,7376
Phone,46145,West,3926
Monitor,12943,East,18991
Tablet,75395,North,12509
Keyboard,94244,South,7688
Phone,24738,South,5510
Tablet,16441,West,18351
Laptop,21597,East,17652
Laptop,16160,East,12686
Keyboard,83442,East,4518
Mouse,34057,South,18771
Monitor,32120,South,17341
Monitor,8602,South,2839
Monitor,15988,West,9413
Laptop,18368,South,4896
Monitor,9964,West,10508
Mouse,18787,West,8055
Keyboard,81491,South,19571
Phone,53435,North,14780
Keyboard,90036,North,2718
Keyboard,38505,West,6640
Laptop,44541,East,3826
Tablet,36372,West,429
Monitor,11603,West,18343
Keyboard,55549,North,204
Laptop,73943,East,7722
Tablet,13676,East,19307
Phone,72911,North,11810
Phone,12631,West,14871
Laptop,68901,North,15163
Mouse,89923,South,14045
Monitor,23651,North,5469
Tablet,64020,East,19361
Laptop,32250,South,6056
Laptop,69317,West,12176
Laptop,41771,East,6173
Tablet,31019,South,9703
Monitor,16462,West,11931
Mouse,98873,South,5895
Phone,19969,West,18677
Mouse,39345,South,4710
Phone,10308,North,7866
Tablet,38179,West,4077
Phone,40800,South,5226
Keyboard,18613,West,16365
Laptop,71538,South,405
Monitor,10683,South,5065
Monitor,55998,North,18248
Keyboard,95412,North,1765
Phone,18071,South,538
Tablet,36757,South,11839
Phone,58865,West,13277
Tablet,76420,West,16003
Laptop,12743,East,12813
Phone,11267,South,19532
Phone,8112,East,17858
Tablet,31431,South,4827
Mouse,67221,South,925
Phone,44394,East,12640
Laptop,25602,West,7960
Tablet,78035,West,12211
Keyboard,1909,East,12063
Keyboard,52141,West,17052
Monitor,69438,East,7997
Phone,22719,East,10483
Monitor,13252,East,18231
Monitor,98506,West,8544
Keyboard,95010,West,7791
Mouse,6262,West,4282
Mouse,77675,North,7255
Mouse,83179,West,4910
Laptop,81542,North,1484
Mouse,31216,West,15794
Tablet,59748,South,1524
Phone,68224,East,10302
Mouse,7228,West,18742
Keyboard,80692,South,13806
Monitor,14567,North,4962
Phone,49662,South,2549
Mouse,95724,West,8780
Monitor,5016,East,418
Monitor,53179,North,9258
Phone,93852,North,8079
Tablet,7263,South,13735
Mouse,51797,South,17885
Tablet,91030,South,13165
Tablet,6831,South,1715
Keyboard,26499,South,9028
Keyboard,75964,North,3594
Laptop,46069,West,2599
Laptop,27816,West,1722
Mouse,30648,North,7615
Phone,57379,North,4244
Phone,29713,North,11787
Tablet,23200,South,8448
Tablet,92431,West,3123
Mouse,66485,South,10056
Keyboard,84215,West,2263
Phone,99460,East,16680
Keyboard,27923,South,17241
Keyboard,43445,South,17074
Phone,25189,North,3668
Phone,9886,East,11570
Monitor,65249,North,13840
Monitor,47713,South,4260
Phone,73854,South,6312
Monitor,7426,South,14928
Keyboard,60482,East,6847
Laptop,55395,West,12727
Laptop,20158,South,7872
Phone,11546,East,7667
Tablet,1283,South,3680
Tablet,6155,North,7478
Laptop,97248,North,7155
Mouse,21423,North,13637
Monitor,77973,North,439
Mouse,35795,West,7708
Laptop,58543,West,7683
Keyboard,34976,East,750
Monitor,48434,South,3830
Laptop,61125,South,6192
Phone,11602,East,1804
Mouse,99772,North,13498
Phone,35119,North,8259
Laptop,66008,East,16907
Monitor,35853,East,10574
Phone,60443,East,15774
Phone,45876,East,6670
Laptop,26272,South,3579
Phone,63749,West,11487
Tablet,80133,South,9792
Laptop,6905,East,565
Keyboard,97349,North,3273
Keyboard,71799,North,14907
Keyboard,86309,South,10712
Mouse,79028,North,8709
Mouse,40526,East,2470
Laptop,21763,North,5955
Mouse,41175,North,18377
Laptop,40575,West,3487
Tablet,12442,South,11931
Keyboard,92047,West,18230
Keyboard,82716,South,4311
Phone,27820,North,7439
Tablet,58880,South,12195
Laptop,11506,West,13679
Laptop,96083,North,4884
Laptop,16450,West,17230
Mouse,25627,East,5630
Mouse,8465,North,14776
Phone,74578,North,774
Tablet,56642,North,2925
Phone,59771,West,7831
Laptop,58115,South,8335
Keyboard,18267,East,13884
Keyboard,48071,West,19298
Monitor,71023,West,5788
Keyboard,79515,East,7983
Laptop,26437,North,15526
Laptop,12983,South,7527
Mouse,8810,West,12946
Mouse,45637,South,1409
Phone,88260,East,2637
Monitor,16606,West,19996
Tablet,60913,North,5769
Phone,74230,North,19921
Laptop,75507,North,10371
Keyboard,37640,West,15922
Phone,90602,South,4463
Tablet,57031,West,3650
Monitor,76095,North,4626
Monitor,25456,West,16152
Phone,7163,West,2197
Monitor,71598,West,3002
Tablet,27758,South,10656
Tablet,87736,North,19488
Mouse,82364,East,583
Phone,31900,South,17713
Laptop,70850,North,9831
Monitor,47504,South,16172
Phone,91317,West,7250
Keyboard,11909,East,5889
Laptop,64884,East,9587
Keyboard,93276,East,5707
Mouse,91571,West,6762
Monitor,98431,South,1431
Laptop,3641,West,2212
Monitor,13145,South,9883
Laptop,89920,West,14121
Mouse,49673,North,9872
Laptop,58878,East,6234
Mouse,81477,North,19759
Monitor,6602,East,10325
Keyboard,64432,East,10755
Tablet,93713,East,19256
Tablet,82037,South,13031
Tablet,69209,East,575
Keyboard,24484,South,14305
Keyboard,31005,North,1514
Mouse,38646,West,16665
Phone,65032,East,11256
Tablet,67016,North,3818
Keyboard,10222,North,19778
Mouse,61562,East,11094
Tablet,66323,East,15626
Phone,78880,West,5115
Phone,30634,East,7274
Monitor,16072,West,4404
Keyboard,65531,East,4349
Mouse,71333,North,4335
Phone,53143,South,8255
Keyboard,7420,North,6259
Laptop,68080,West,12847
Monitor,94886,North,14367
Mouse,12942,East,2881
Keyboard,55662,South,6248
Monitor,4106,South,7366
Monitor,45201,East,2851
Phone,92010,West,16998
Mouse,35339,North,6603
Laptop,16898,West,6552
Mouse,23657,South,1989
Mouse,4315,West,3418
Monitor,42562,South,16782
Keyboard,18548,West,11000
Tablet,72188,South,18392
Tablet,94143,South,166
Monitor,77564,East,18914
Keyboard,15039,North,13915
Phone,73967,East,19994
Tablet,62154,West,14616
Laptop,23466,West,10417
Phone,86168,North,4594
Tablet,20701,East,11674
Keyboard,19286,East,258
Keyboard,52300,North,1393
Tablet,54629,West,11377
Monitor,36458,North,2360
Tablet,96348,South,454
Keyboard,19841,West,9457
Laptop,84614,East,761
Keyboard,30939,South,13537
Phone,33581,East,5229
Laptop,70640,East,5007
Laptop,28085,North,13413
Mouse,92389,North,11654
Phone,1098,South,10887
Laptop,23310,East,18333
Keyboard,13627,North,3287
Tablet,52006,West,18957
Tablet,67389,North,16198
Monitor,37891,South,5329
Mouse,1755,West,5161
Laptop,47792,East,14972
Mouse,68813,North,4537
Phone,17811,East,11533
Tablet,42521,East,17549
Laptop,40717,East,15190
Tablet,24993,West,10130
Mouse,25777,East,2211
Phone,37780,West,7879
Keyboard,19086,West,10171
Phone,31201,North,19495
Keyboard,76077,South,5843
Phone,4181,North,3434
Tablet,87907,South,13974
Tablet,83827,East,5677
Laptop,13887,East,6295
Phone,42175,West,8873
Monitor,42091,West,2045
Keyboard,63902,North,1502
Laptop,40082,South,5905
Monitor,87297,East,5883
Monitor,53969,South,15606
Monitor,99165,South,520
Phone,18265,North,17803
Tablet,39349,South,19988
Keyboard,33508,North,17161
Phone,46180,South,16144
Phone,1300,East,1168
Mouse,81928,East,3804
Phone,66234,East,5366
Tablet,68488,North,13156
Laptop,56870,South,14903
Phone,91545,East,4632
Laptop,73687,South,5496
Monitor,44489,West,2114
Laptop,15031,South,17929
Laptop,17076,South,1573
Mouse,30481,East,3294
Tablet,71543,West,5299
Monitor,87138,North,3652
Tablet,88925,East,19174
Tablet,22427,West,11421
Keyboard,17124,West,3670
Tablet,45534,South,8514
Phone,35179,South,18961
Monitor,49283,North,8557
Laptop,35073,East,10625
Laptop,97749,East,10761
Tablet,37759,North,6676
Tablet,97794,South,9775
Keyboard,17143,South,4109
Tablet,2194,East,19039
Tablet,48332,North,16705
Mouse,10887,West,14763
Laptop,11279,West,523
Phone,39077,South,2198
Mouse,11946,West,2377
Phone,60700,East,16466
Laptop,97318,North,16571
Monitor,33258,West,6873
Phone,90500,North,299
Keyboard,46495,West,457
Monitor,51716,South,5782
Phone,5719,East,16702
Monitor,25605,North,18133
Tablet,91394,East,16862
Keyboard,76017,South,14899
Keyboard,31999,West,19275
Monitor,87838,North,17934
Keyboard,28606,North,1128
Phone,44103,North,18985
Phone,42253,South,5094
Keyboard,88185,West,16332
Monitor,99827,East,10227
Laptop,72403,North,6827
Phone,43393,East,13245
Tablet,52954,West,17987
Laptop,65048,West,12065
Mouse,40582,North,3782
Mouse,58927,North,3710
Mouse,86781,North,15698
Tablet,65232,East,19147
Mouse,6470,South,7839
Phone,81065,South,13011
Laptop,11326,East,1509
Tablet,65687,East,847
Phone,53671,North,13613
Keyboard,77395,East,16255
Keyboard,18037,East,13152
Laptop,8582,West,10529
Tablet,53541,West,2205
Mouse,96107,North,3729
Keyboard,17497,West,262
Phone,38324,East,11611
Mouse,70606,West,18393
Tablet,81665,North,3610
Keyboard,93051,West,11721
Phone,43898,South,16240
Keyboard,80544,East,13314
Tablet,16480,South,17822
Tablet,49941,West,13412
Monitor,8742,East,14281
Mouse,64723,East,12372
Monitor,74217,North,7108
Tablet,22094,West,779
Laptop,31868,North,19702
Monitor,9119,North,13710
Phone,8159,East,7043
Monitor,84715,South,13392
Monitor,74103,South,13073
Laptop,73134,West,6371
Mouse,73953,East,16902
Monitor,56142,East,19345
Laptop,8572,South,18426
Phone,42680,West,8258
Monitor,71559,North,18261
Keyboard,42416,South,8476
Tablet,39998,West,19427
Phone,51134,South,11339
Laptop,96864,South,10072
Laptop,62066,West,4757
Laptop,78725,North,16526
Laptop,7114,North,11538
Phone,68714,South,9214
Laptop,22312,North,16807
Phone,11880,South,4996
Mouse,93982,North,18552
Tablet,9861,North,16253
Laptop,9127,West,1412
Monitor,79259,West,9314
Tablet,73036,South,10893
Laptop,86138,North,1527
Monitor,94360,East,16926
Monitor,35764,East,15983
Phone,70333,East,3235
Phone,79278,South,13648
Monitor,44071,North,4550
Phone,8058,West,6300
Phone,3567,South,14427
Monitor,71852,East,11240
Keyboard,82775,North,7699
Phone,84450,West,11687
Tablet,39429,South,17278
Keyboard,61947,South,19733
Laptop,52792,East,16262
Keyboard,56012,South,1134
Mouse,45738,West,8106
Tablet,40571,West,10112
Keyboard,12192,North,157
Laptop,6877,West,12681
Mouse,11095,North,1186
Keyboard,1025,South,19105
Monitor,84979,North,19410
Tablet,5948,South,2205
Mouse,50558,North,17727
Tablet,99641,West,19812
Mouse,91889,East,2222
Monitor,64581,East,4765
Monitor,60352,West,16450
Keyboard,57985,West,2201
Laptop,83739,West,1299
Mouse,48130,East,2842
Monitor,44733,North,2959
Keyboard,18070,South,5066
Phone,41301,East,15888
Tablet,10725,East,6716
Laptop,92014,North,16110
Monitor,87194,West,13860
Tablet,37403,South,8516
Tablet,91546,West,11478
Phone,43472,West,17695
Keyboard,22327,East,10686
Tablet,7541,South,2951
Monitor,90788,North,9180
Monitor,28416,North,13962
Laptop,29907,East,1616
Laptop,77078,West,9860
Tablet,30860,East,1302
Tablet,16738,West,17789
Monitor,79634,North,8251
Keyboard,25619,East,12165
Laptop,53353,West,14895
Phone,40491,North,736
Keyboard,26089,West,15760
Monitor,20758,North,4576
Laptop,12958,North,8668
Phone,68254,West,14301
Tablet,53151,East,19003
Phone,89117,South,14625
Laptop,72025,West,12620
Monitor,10247,North,11632
Tablet,77173,North,10317
Mouse,21177,South,8377
Phone,90210,South,8634
Keyboard,40941,East,6450
Laptop,91374,East,19115
Monitor,18831,East,6314
Laptop,95180,East,15521
Monitor,30218,North,9235
Mouse,61162,West,10888
Tablet,2814,East,15498
Keyboard,29437,North,3704
Phone,78511,West,15893
Laptop,29537,North,4616
Monitor,86884,West,487
Phone,83042,West,18284
Laptop,46587,West,19254
Mouse,34216,West,17313
Mouse,20177,West,14120
Tablet,18422,West,10057
Keyboard,17544,North,10663
Monitor,9710,South,2200
Phone,70853,East,5161
Mouse,27199,West,15250
Monitor,35639,South,6012
Keyboard,62153,West,12963
Monitor,41254,East,396
Phone,13181,North,9431
Monitor,97539,South,17429
Tablet,3275,East,11390
Monitor,48051,South,15570
Phone,10048,West,9872
Tablet,55254,West,3492
Phone,65371,East,15952
Phone,68194,South,19554
Tablet,71193,West,10933
Keyboard,63790,West,16793
Keyboard,23641,East,7674
Phone,58689,South,3743
Mouse,62124,South,11421
Tablet,47644,South,14680
Laptop,76382,North,6539
Tablet,41041,North,11968
Phone,23651,South,7443
Monitor,1169,North,19219
Mouse,59696,South,19351
Keyboard,28520,South,14174
Mouse,31770,West,19702
Tablet,63444,East,11647
Tablet,63564,East,12825
Mouse,57362,East,16804
Monitor,64080,West,9037
Tablet,47284,South,951
Monitor,6616,East,11468
Tablet,54412,West,3859
Keyboard,99564,North,12050
Phone,42743,West,11669
Tablet,19309,North,14230
Monitor,53657,West,19761
Mouse,7452,East,9195
Monitor,68302,South,9156
Tablet,37062,North,1221
Phone,91219,North,5659
Tablet,31382,South,12521
Tablet,14417,East,11906
Mouse,19853,East,10125
Monitor,37651,East,14395
Keyboard,44335,North,9651
Mouse,80477,South,6254
Mouse,82651,West,14453
Mouse,79567,North,9090
